2,Thundermonkeys,Kick361#3198343,1.306569,22,137,1232,0.8
1,TMNT,master splinter#1221318,2.80315,15,127,1727,1.78
1,TMNT,Michelangelo#2400899,2.969925,13,133,1326,1.82
1,TMNT,Yellow-_-Falcon#2352771,2.975806,14,124,615,1.86
3,Triple D’s,notmyfault#3604373,1.95,40,100,410,1.02
3,Triple D’s,hopes21213#4187470,1.97,35,100,457,0.85
3,Triple D’s,PERC 30#3562416,1.884956,24,113,269,1.04
4,Triumphant hedgehogs,Iris#6198249,1.97,26,100,1461,0.76
4,Triumphant hedgehogs,Ttv_loudrthnwrds#8479802,2.129771,16,131,2431,0.99
4,Triumphant hedgehogs,Banana#5101535,1.578571,23,140,715,1.45
5,TUGS,DarkStar5922#2537321,1.348214,30,112,728,0.85
5,TUGS,NfantAnnihilator#5532465,1.528926,33,121,386,1.13
5,TUGS,Death Dealer#5119347,1.764228,28,123,205,0.93
1,UN17Y blade,EversZa#2036391,3.785714,19,126,779,2.55
1,UN17Y blade,NJOY#3818762,3.788321,11,137,380,2.75
1,UN17Y blade,CanadianSafa#8585725,1.839416,12,137,746,1.47
1,USTX,HIBRYD#2608850,2.6875,20,128,596,1.26
1,USTX,KryptvN#8954495,2.75,14,136,468,1.87
1,USTX,ChewiestSloth#5965177,3.978417,17,139,759,2.1
1,Warzone Jokerz,daanielsonn#7864843,2.391304,19,115,827,1.23
1,Warzone Jokerz,James Bond#9122983,2.7,13,140,1035,1.51
1,Warzone Jokerz,AK Got You Good#1813034,2.328571,13,140,2609,1.59
5,You will be Kilo'd,TonyThePizzaMan,1.135593,19,118,617,0.71
5,You will be Kilo'd,brightywhity95#6459435,1.109244,25,119,620,0.63
5,You will be Kilo'd,SacksSquad#9245082,1.8,21,130,922,1.07
2,Yumy,Jobzz_07,2.29,22,100,169,1.37
2,Yumy,Gagzz09,2.945312,22,128,468,1.64
2,Yumy,Phoutz_05_392921#9316545,1.376812,16,138,593,0.91
2,Zen,1165#6951380,2.882353,30,102,410,1.29
2,Zen,x IM a stud x#5959584,3.561404,28,114,269,1.8
2,Zen,Grim#2876860,1.492857,19,140,549,1.34
4,Panda’s Express,Herecomesgus#7608638,2.21,26,100,472,1.31
4,Panda’s Express,JMACJR87#7863558,1.292683,24,123,376,0.57
4,Panda’s Express,Bat Masterson#7913344,1.217742,28,124,484,0.75
2,God squad,Pandemic#7760776,3.18,30,100,322,1.3
2,God squad,zone#3833232,2.541985,23,131,743,1.49
2,God squad,TSm-0415#4534027,1.397059,16,136,447,0.85
2,Les Greines,Steviescavengini#7412480,1.94964,12,139,1576,1.21
2,Les Greines,BIGDORSO#7104112,1.807143,10,140,853,1.2
2,Les Greines,Mike 0xmall 69#9641373,1.669118,10,136,495,0.93
3,Newworld gaming,xIInstincTTx#6109350,2.315789,20,133,534,1.37
3,Newworld gaming,Storm#9167384,2.152672,21,131,656,1.31
3,Newworld gaming,CJrad1#2290843,1.55303,22,132,256,1.04
1,276 Boyz,MAN14C,1.75188,14,133,1777,1.02
1,276 Boyz,Bev#9379921,3.564286,12,140,617,2.64
1,276 Boyz,Gewgy,2.050725,13,138,1391,1.77
2,siéntate,BEEF#3215886,2.44,23,100,100,New 
2,siéntate,YungTacomeat86#9895393,2.75,24,100,100,New 
2,siéntate,Vergudo#8774942,2.62,28,100,100,New 
2,BDEAD ,ANHIALATORIAMBK#5603564,3.11,29,100,100,New 
2,BDEAD ,Grim Psycho#2405483,2.79,25,100,100,New 
2,BDEAD ,SweeneysFrenzy#5641284,1.5,29,100,100,New 
